"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"0732"	"0778,0779"	"a)/rrwstos, on"	"infirm, sick, ill"	"infirm, sick, ill, feeble, sickly."
"0733"	"0780"	"a)rsenokoi/ths, ou, o("	"a male engaging in same-gender sexual activity"	"a male engaging in same-gender sexual activity; a sodomite, pederast."
"0734"	"0782"	"*)artema=s, a=, o("	"Artemas"	"Artemas, a Christian in Rome."
"0735"	"0783"	"*)/artemis, idos, h("	"the Persian or Ephesian Artemis"	"Artemis, a goddess, worshipped principally at Ephesus, typifying fertility (she had no relation with the other Artemis, the maiden huntress, to whom corresponded the Latin Diana)."
"0736"	"0784"	"a)rte/mwn, onos, o("	"a foresail, set on the bow"	"a foresail, set on the bow."
"0737"	"0785"	"a)/rti"	"now, just now"	"now, just now, at this moment."
"0738"	"0786"	"a)rtige/nnhtos, on"	"newly begotten, newly born"	"newly begotten, newly born."
"0739"	"0787"	"a)/rtios, ia, on"	"perfect, complete"	"perfect, complete, fitted, ready."
"0740"	"0788"	"a)/rtos, ou, o("	"bread, a loaf, food"	"bread, a loaf, food."
"0741"	"0789"	"a)rtu/w"	"I season, flavor"	"prop: I arrange, make ready; I season, flavor."
"0742"	"0790"	"*)arfaca/d, o("	"Arphaxad"	"Arphaxad, son of Shem, and father of Cainan."
"0743"	"0791"	"a)rxa/ggelos, ou, o("	"a ruler of angels, a superior angel, an archangel"	"a ruler of angels, a superior angel, an archangel."
"0744"	"0792"	"a)rxai=os, ai/a, ai=on"	"original, primitive, ancient"	"original, primitive, ancient."
"0745"	"0793"	"*)arxe/laos, ou, o("	"Archelaus"	"Archelaus, Herod Archelaus, son and successor of Herod I, reigned over Judea from 4 B.C. to A.D. 6 and died before A.D. 18."
"0746"	"0794"	"a)rxh/, h=s, h("	"ruler, beginning"	"(a) rule (kingly or magisterial), (b) plur: in a quasi-personal sense, almost: rulers, magistrates, (c) beginning."
"0747"	"0795"	"a)rxhgo/s, ou=, o("	"originator, author, founder"	"originator, author, founder, prince, leader."
"0748"	"0796"	"a)rxieratiko/s, h/, o/n"	"high priestly, to which the chief priest belongs"	"high priestly, to which the chief priest belongs."
"0749"	"0797"	"a)rxiereu/s, e/ws, o("	"high priest, chief priest"	"high priest, chief priest."
"0750"	"0799"	"a)rxipoi/mhn, enos, o("	"the chief shepherd"	"the chief shepherd."
"0751"	"0800"	"*)/arxippos, ou, o("	"Archippus"	"Archippus, a Christian of Colossae."
"0752"	"0801"	"a)rxisuna/gwgos, ou, o("	"a leader of the synagogue"	"a leader of the synagogue, a leader connected with the synagogue: sometimes there was only one, and the name was in some cases merely honorary."
"0753"	"0802"	"a)rxite/ktwn, onos, o("	"master-builder"	"master-builder, architect."
"0754"	"0803"	"a)rxitelw/nhs, ou, o("	"head of a custom-house, chief tax-gatherer"	"head of a custom-house, chief tax-gatherer or publican."
"0755"	"0804"	"a)rxitri/klinos, ou, o("	"master of the feast"	"master of ceremonies at a dinner, master of the feast."
"0756"	"0806"	"a)/rxomai"	"I begin"	"I begin."
"0757"	"0806"	"a)/rxw"	"I reign, rule"	"I reign, rule."
"0758"	"0807"	"a)/rxwn, ontos, o("	"a ruler, prince, leader"	"a ruler, governor, leader, leading man; with the Jews, an official member (a member of the executive) of the assembly of elders."
"0759"	"0808"	"a)/rwma, atos, to/"	"spice, perfume"	"spice, perfume."
"0760"	"0809,0811"	"*)asa/, o("	"Asa"	"Asa, son of Abijah and father of Jehoshaphat, king of Judah about 900 B.C. for 41 years."
"0761"	"0810"	"a)sa/leutos, on"	"unshaken, immovable"	"unshaken, immovable."
"0762"	"0812"	"a)/sbestos, on"	"inextinguishable, unquenchable"	"inextinguishable, unquenchable."
"0763"	"0813"	"a)se/beia, as, h("	"impiety, irreverence, wickedness"	"impiety, irreverence, ungodliness, wickedness."
"0764"	"0814"	"a)sebe/w"	"I am impious, irreverent, do impiously"	"I am ungodly, act profanely."
"0765"	"0815"	"a)sebh/s, e/s"	"impious, ungodly, wicked"	"impious, ungodly, wicked."
"0766"	"0816"	"a)se/lgeia, as, h("	"wantonness, lewdness"	"(outrageous conduct, conduct shocking to public decency, a wanton violence), wantonness, lewdness."
"0767"	"0817"	"a)/shmos, on"	"undistinguished, obscure"	"(lit: unmarked, unstamped), undistinguished, obscure, unknown."
"0768"	"0818"	"*)ash/r, o("	"Asher"	"Asher, one of the sons of Jacob, and founder of one of the Twelve Tribes."
"0769"	"0819"	"a)sqe/neia, as, h("	"want of strength, weakness, illness"	"want of strength, weakness, illness, suffering, calamity, frailty."
"0770"	"0820"	"a)sqene/w"	"I am weak, sick"	"I am weak (physically: then morally), I am sick."
"0771"	"0821"	"a)sqe/nhma, atos, to/"	"weakness, infirmity"	"weakness, infirmity, doubt, hesitation."
"0772"	"0822"	"a)sqenh/s, e/s"	"weak, infirm, sick"	"(lit: not strong), (a) weak (physically, or morally), (b) infirm, sick."
"0773"	"0823"	"*)asi/a, as, h("	"roughly the western third of Asia Minor"	"the Roman province of Asia, roughly the western third of Asia Minor."
"0774"	"0824"	"*)asiano/s, ou=, o("	"belonging to the Roman province Asia"	"belonging to the Roman province Asia."
"0775"	"0825"	"*)asia/rxhs, ou, o("	"an Asiarch"	"an Asiarch, an official connected with the worship of Rome and the Emperor in the Roman province Asia."
"0776"	"0826"	"a)siti/a, as, h("	"abstinence, a fast"	"either: lack or wheat, lack of food (the literal meaning), or: abstinence from food, a fast, loss of appetite, sea-sickness (the extended meaning)."
"0777"	"0827"	"a)/sitos, on"	"fasting"	"fasting, without eating."
"0778"	"0828"	"a)ske/w"	"I train, practice, exercise"	"I train, practice, exercise."
"0779"	"0829"	"a)sko/s, ou=, o("	"a wine-skin"	"a wine-skin, leather bottle."
"0780"	"0830"	"a)sme/nws"	"joyfully, with delight"	"joyfully, with delight, gladly."
"0781"	"0831"	"a)/sofos, on"	"unskilled, unwise, foolish"	"unskilled, unwise, foolish."
"0782"	"0571,0832"	"a)spa/zomai"	"I greet, salute, pay my respects to"	"I greet, salute, pay my respects to, welcome."
"0783"	"0833"	"a)spasmo/s, ou=, o("	"a greeting, salutation"	"a greeting, salutation."
"0784"	"0834,5646"	"a)/spilos, on"	"unstained, undefiled"	"unstained, undefiled, spotless, pure."
"0785"	"0835"	"a)spi/s, i/dos, h("	"an asp"	"an asp (hooded-snake, cobra)."
"0786"	"0836"	"a)/spondos, on"	"implacable"	"implacable, ""not to be bound by truce""."
"0787"	"0837"	"a)ssa/rion, i/ou, to/"	"a small coin"	"a small coin equal to the tenth part of a drachma."
"0788"	"0839"	"a)=sson"	"nearer, close by"	"nearer, close by."
"0789"	"0840"	"*)/assos, ou, h("	"Assos"	"Assos, a port of Mysia, in the Roman province Asia."
"0790"	"0841"	"a)state/w"	"I am unsettled, have no fixed abode"	"I am unsettled, have no fixed abode, lead a vagabond life."
"0791"	"0842"	"a)stei=os, a, on"	"elegant, pretty, fair, fine, beautiful"	"(lit: belonging to the city; then: witty, clever), elegant, pretty, fair, fine, beautiful."
"0792"	"0843"	"a)sth/r, e/ros, o("	"a star"	"a star."
"0793"	"0844"	"a)sth/riktos, on"	"unsteady, unstable"	"(lit: unpropped), unsteady, unstable, unsettled."
"0794"	"0845"	"a)/storgos, on"	"unloving, devoid of affection"	"unloving, devoid of affection."
"0795"	"0846"	"a)stoxe/w"	"I miss the mark, miss my aim, make a false aim"	"I miss the mark, miss my aim, make a false aim, fail."
"0796"	"0847"	"a)straph/, h=s, h("	"a flash of lightning, brightness, luster"	"a flash of lightning, brightness, luster."
"0797"	"0848"	"a)stra/ptw"	"I flash, am lustrous"	"I flash (with, then like, lightning), am lustrous."
"0798"	"0849"	"a)/stron, ou, to/"	"a star"	"a star."
"0799"	"0850"	"*)asu/gkritos, ou, o("	"Asyncritus"	"Asyncritus, a Christian in Rome."
"0800"	"0851"	"a)su/mfwnos, on"	"dissonant, discordant"	"dissonant, discordant; met: at variance."
"0801"	"0852"	"a)su/netos, on"	"unintelligent, unwise, undiscerning"	"unintelligent, without wisdom, unwise, undiscerning (implying probably moral defect)."
"0802"	"0853"	"a)su/nqetos, on"	"untrue to an agreement, treacherous"	"not covenanting, untrue to an agreement, treacherous."
"0803"	"0854"	"a)sfa/leia, as, h("	"safety, security, reliability"	"safety, security, reliability, firmness."
"0804"	"0855"	"a)sfalh/s, e/s"	"safe, reliable, trustworthy"	"(lit: unfailing), safe, reliable, trustworthy, certain, sure."
"0805"	"0856"	"a)sfali/zw"	"I make safe"	"I make safe (secure, fast)."
"0806"	"0857"	"a)sfalw=s"	"safely, securely, assuredly"	"safely, securely, assuredly, certainly."
"0807"	"0858,2360"	"a)sxhmone/w"	"I act improperly, unseemly"	"I act improperly, am unseemly, behave unbecomingly (or even dishonorably); perhaps: I consider (something) unseemly."
"0808"	"0859"	"a)sxhmosu/nh, h=s, h("	"unseemliness, shame, nakedness"	"unseemly behavior, unseemliness, indecency, shame, nakedness, an indecent (lewd) act."
"0809"	"0860"	"a)sxh/mwn, on"	"unseemly, indecent"	"unseemly, indecent."
"0810"	"0861"	"a)swti/a, as, h("	"wantonness, profligacy"	"wantonness, profligacy, wastefulness."
"0811"	"0862"	"a)sw/tws"	"prodigally, with prodigal living"	"prodigally, with prodigal living, wastefully."
"0812"	"0863"	"a)takte/w"	"I behave disorderly"	"(lit: I march out of order; then: I riot, rebel), behave disorderly, neglect my duty, am careless (or idle) in habits."
"0813"	"0864"	"a)/taktos, on"	"disorderly, slack"	"(lit: out of order), disorderly, slack (in performance of duty)."
"0814"	"0865"	"a)ta/ktws"	"in a disorderly manner"	"in a disorderly manner, irregularly."
"0815"	"0866"	"a)/teknos, on"	"childless"	"childless."
"0816"	"0867"	"a)teni/zw"	"I direct my gaze, look steadily"	"I direct my gaze, look steadily."
"0817"	"0868"	"a)/ter"	"apart from, without"	"apart from, without."
"0818"	"0869,0870"	"a)tima/zw"	"I disgrace, dishonor"	"I disgrace, treat disgracefully, dishonor, insult; I despise."
"0819"	"0871"	"a)timi/a, as, h("	"disgrace, dishonor"	"disgrace, dishonor; a dishonorable use."
"0820"	"0872"	"a)/timos, on"	"without honor, despised"	"without honor, despised."
"0821"	"0873"	"a)timo/w"	"I dishonor, treat shamefully"	"I dishonor, treat shamefully."
"0822"	"0874"	"a)tmi/s, i/dos, h("	"breath, steam, vapor"	"breath, steam, vapor."
"0823"	"0875"	"a)/tomos, on"	"an indivisible part of time, a moment"	"(lit: that cannot be cut), an indivisible part of time, a moment."
"0824"	"0876"	"a)/topos, on"	"improper, unrighteous, perverse"	"(lit: out of place, unusual, unbecoming), improper, unrighteous, perverse."
"0825"	"0877"	"*)atta/leia, as, h("	"Attalia"	"Attalia, the port of Perga in Pamphylia."
"0826"	"0878,2964"	"au)ga/zw"	"I shine forth"	"I flash, gleam, shine forth, appear white, bright; but perhaps: I see, see clearly, discern."
"0827"	"0879"	"au)gh/, h=s, h("	"light of day"	"brightness, daylight, dawn."
"0828"	"0880"	"*au)gou/stos, ou, o("	"Augustus"	"Augustus, a title conferred on the first Roman Emperor, C. Iulius Octauianus, denoting sanctity (almost divinity)."
"0829"	"0881"	"au)qa/dhs, es"	"self-satisfied, arrogant"	"self-satisfied, arrogant, stubborn."
"0830"	"0882"	"au)qai/retos, on"	"of one's own accord"	"of one's own accord, self-chosen."
"0831"	"0883"	"au)qente/w"	"I domineer over"	"I domineer, govern, have mastery over."
"0832"	"0884"	"au)le/w"	"I play the flute, pipe"	"I play the flute, pipe."
"0833"	"0885"	"au)lh/, h=s, h("	"court-yard, fore-court, palace, house"	"court-yard, fore-court, sheep-fold; but it may be understood as: palace, house."
"0834"	"0886"	"au)lhth/s, ou=, o("	"a flute-player"	"a flute-player."
"0835"	"0887"	"au)li/zomai"	"I lodge, pass the night"	"I lodge in the open, lodge, pass the night."
"0836"	"0888"	"au)lo/s, ou=, o("	"a flute, pipe"	"a flute, pipe."
"0837"	"0889,0891,3824"	"au)ca/nw"	"I cause to increase, become greater, grow"	"(a) I cause to increase, become greater (b) I increase, grow."
"0838"	"0890"	"au)/chsis, ews, h("	"increasing, increase, growth"	"increasing, increase, growth."
"0839"	"0892"	"au)/rion"	"tomorrow"	"tomorrow."
"0840"	"0893"	"au)sthro/s, a/, o/n"	"grim, severe, strict, exacting"	"grim, severe, strict, exacting, harsh, rigid."
"0841"	"0894"	"au)ta/rkeia, as, h("	"self-sufficiency, independence"	"self-sufficiency, independence, contentment."
"0842"	"0895"	"au)ta/rkhs, es"	"self-sufficient, contented, satisfied"	"self-sufficient, contented, satisfied, independent."
"0843"	"0896"	"au)tokata/kritos, on"	"self-condemned"	"(perhaps a new coinage), self-condemned."
"0844"	"0897"	"au)to/matos, h, on"	"of its own accord"	"of its own accord."
"0845"	"0898"	"au)to/pths, ou, o("	"an eye-witness"	"an eye-witness."
"0846"	"0899"	"au)to/s, au)th/, au)to/"	"he, she, it, they, them, same"	"he, she, it, they, them, same."
"0847"	"0898"	"au)tou="	"here, there"	"here, there."
"0849"	"0901"	"au)to/xeir, ros, o("	"with one's own hand"	"with one's own hand."
"0850"	"0903"	"au)xmhro/s, a/, o/n"	"dingy, dusky, obscure, dark, funereal"	"(poetical, lit: dry and parched; then: squalid and rough), dingy, murky, obscure, dark, funereal."
"0851"	"0904"	"a)faire/w"	"I take away, smite off"	"I take away, smite off."
"0852"	"0905"	"a)fanh/s, e/s"	"invisible"	"invisible, unseen, hidden."
"0853"	"0906"	"a)fani/zw"	"I cause to disappear, I hide, remove, disfigure"	"I cause to disappear, hide, remove; I disfigure (probably by leaving unwashed for a long period), destroy."
"0854"	"0907"	"a)fanismo/s, ou=, o("	"disappearing, disappearance"	"disappearing, disappearance, obliteration."
"0855"	"0908"	"a)/fantos, on"	"disappearing, invisible, hidden"	"disappearing, invisible, hidden."
"0856"	"0909,4060"	"a)fedrw/n, w=nos, o("	"a drain, latrine"	"a drain, latrine."
"0857"	"0910"	"a)feidi/a, as, h("	"severity"	"severity, severe treatment."
"0858"	"0911"	"a)felo/ths, thtos, h("	"simplicity, sincerity"	"simplicity, sincerity."
"0859"	"0912"	"a)/fesis, ews, h("	"deliverance, pardon, complete forgiveness"	"a sending away, a letting go, a release, pardon, complete forgiveness."
"0860"	"0913"	"a(fh/, h=s, h("	"a band, fastening, a ligament"	"a band, fastening (hence, possibly: a ligament), joint."
"0861"	"0914"	"a)fqarsi/a, as, h("	"indestructibility, incorruptibility, immortality"	"indestructibility, incorruptibility; hence: immortality."
"0862"	"0915"	"a)/fqartos, on"	"imperishable, incorruptible"	"indestructible, imperishable, incorruptible; hence: immortal."
"0863"	"0918,1889"	"a)fi/hmi"	"I send away, release, remit, forgive, permit"	"(a) I send away, (b) I let go, release, permit to depart, (c) I remit, forgive, (d) I permit, suffer."
"0864"	"0919"	"a)fikne/omai"	"I arrive at, reach"	"I arrive at, reach, come to."
"0865"	"0920"	"a)fila/gaqos, on"	"not loving that which is good"	"not loving that which is good."
"0866"	"0921"	"a)fila/rguros, on"	"not loving money, not avaricious"	"not loving money, not avaricious."
"0867"	"0922"	"a)/ficis, ews, h("	"arrival, departure"	"arrival, departure."
"0868"	"0923"	"a)fi/sthmi"	"I lead away, seduce, depart, abstain from"	"I make to stand away, draw away, repel, take up a position away from, withdraw from, leave, abstain from."
"0869"	"0924"	"a)/fnw"	"suddenly"	"suddenly."
"0870"	"0925"	"a)fo/bws"	"fearlessly"	"fearlessly, shamelessly, securely, tranquilly."
"0871"	"0926"	"a)fomoio/w"	"I assimilate, make like to"	"I assimilate, make like to."
"0872"	"0927"	"a)fora/w"	"I look away from"	"I look away from (something else) to, see distinctly."
"0873"	"0928"	"a)fori/zw"	"I rail off, separate, place apart"	"I rail off, separate, place apart."
"0874"	"0929"	"a)formh/, h=s, h("	"an occasion, opportunity"	"(a) a starting, a start, (b) cause, occasion, opportunity."
"0875"	"0930"	"a)fri/zw"	"I foam at the mouth"	"I foam (at the mouth), froth."
"0876"	"0931"	"a)fro/s, ou=, o("	"foam, froth"	"foam, froth."
"0877"	"0932"	"a)frosu/nh, h=s, h("	"want of sense, foolishness"	"want of sense, foolishness, impiety, wickedness."
"0878"	"0933"	"a)/frwn, onos, on"	"senseless, foolish, inconsiderate"	"senseless, foolish, inconsiderate."
"0879"	"0934"	"a)fupno/w"	"I fall asleep"	"I fall asleep."
"0880"	"0936,0305"	"a)/fwnos, on"	"soundless, voiceless, speechless, dumb"	"soundless, voiceless, speechless, dumb."
"0881"	"0937,0941"	"*)/axaz, o("	"Ahaz"	"Ahaz, son of Jotham and father of Hezekiah."
"0882"	"0938"	"*)axai+a, as, h("	"Achaia"	"the Roman Province Achaia, governed by a proconsul, and practically conterminous with modern Greece before 1912."
"0883"	"0939"	"*)axai+ko/s, ou=, o("	"Achaicus"	"Achaicus, a Corinthian Christian."
"0884"	"0940"	"a)xa/ristos, on"	"ungrateful"	"ungrateful, ungracious, unpleasing."
"0885"	"0943"	"*)axei/m, o("	"Achim"	"Achim, son of Zadok and father of Eliud."
"0886"	"0942"	"a)xeiropoi/htos, on"	"not made by hand, not handmade"	"not made with hands."
"0887"	"0944"	"a)xlu/s, u/os, h("	"a mist, dimness"	"a mist, dimness, darkening."
"0888"	"0945"	"a)xrei=os, on"	"unprofitable, useless, unworthy"	"unprofitable, useless, unworthy."
"0889"	"0946"	"a)xreio/w"	"I am good for nothing"	"(lit: I become sour, I turn, of milk), I am good for nothing, render useless; met: I become corrupt."
"0890"	"0947"	"a)/xrhstos, on"	"unprofitable, useless"	"unprofitable, useless, detrimental."
"0891"	"0948"	"a)/xri"	"as far as, up to, until"	"as far as, up to, until, during."
"0892"	"0949"	"a)/xuron, ou, to/"	"chaff"	"chaff."
"0893"	"0950"	"a)yeudh/s, e/s"	"not guilty of falsehood, truthful"	"not guilty of falsehood, truthful."
"0894"	"0951,0952"	"a)/yinqos, ou=, o("	"wormwood"	"wormwood."
"0895"	"0953"	"a)/yuxos, on"	"lifeless"	"lifeless, inanimate."
"0896"	"0955"	"*ba/al, o("	"Baal"	"Baal, chief deity of the Phoenicians and other Semitic nations."
"0897"	"0956"	"*babulw/n, w=nos, h("	"Babylon"	"(a) Babylon, the ancient city on the Euphrates, to which the people of Jerusalem, etc., were transported, (b) hence allegorically of Rome, from the point of view of the Christian people."
